ID,Name,Address,Latitude,Longitude
66.0,Robert Blake,"721 Hawkins Street
New Elizabeth, MH 42229",-74.537109,-159.078152
17.0,Joshua Perez,"12121 Scott Estates
Lauraborough, MD 10728",-66.0367435,-142.088351
89.0,Chris Freeman,"841 Michelle Springs Apt. 850
Colleenfort, PW 16365",-16.972206,-96.182480
73.0,Willie Jones,"110 Amy Trafficway
South Anna, MH 74872",56.6086195,5.592390
83.0,Shirley Brown,"80947 Jaime Mill Suite 855
North Kenneth, NV 39338",-82.696139,-65.225910
40.0,Mary Moore,"919 Hampton Greens
North Joanneton, PR 82186",-12.0650055,-75.608700
91.0,Anthony Baker,"2984 Mayer Landing
Kimland, NC 49434",-20.7651215,-157.197803
49.0,Carlos Huynh,"149 Kenneth Mountains Suite 488
North Reginaldside, IA 05109",-60.000936,126.511128
73.0,Kelly Dominguez,"164 Jeffrey Springs
Brandiview, OK 11103",76.8032515,68.341668
80.0,Jesus Roth,"767 Scott Point Apt. 891
Lake Brian, GU 26164",27.6546255,-61.196688
